WKT,f_code,acc,exs,soc
"LINESTRING (123.87179564169 24.2544002581638,123.878898623227 24.255466459409,123.880096438757 24.2623329167231,123.880203239845 24.264999389866,123.881896960657 24.2701339772999,123.880599973852 24.2746009886457,123.877197272601 24.2761993367869,123.881095879133 24.2798004131927,123.889602664867 24.2791328371045,123.892097467202 24.2772007009192,123.896102907428 24.2757339507604,123.899497995169 24.2728004504429,123.902801508842 24.2746009886457,123.901702880889 24.2834663430145,123.898696897342 24.2961998009637,123.898101820786 24.3013992255106,123.899703983834 24.3043994866976,123.902297973748 24.3085994708688,123.9048004222 24.3121337864051,123.909896844263 24.3190669882855,123.910598754512 24.319999700398,123.909698501714 24.3235339996313,123.910194406995 24.3242664291355,123.913703909334 24.3248004834849,123.915496834026 24.3237323747862,123.923698427214 24.3164653685586,123.925697324268 24.3144664878069,123.926002500511 24.3194007926326,123.922996533267 24.3241329236997,123.926399234518 24.3266010216877,123.928100585143 24.3266677825572,123.925102247713 24.3333339735659,123.92630004694 24.3365325936048,123.926002500511 24.3434009583722,123.92849731915 24.3465995784111,123.932800289502 24.3474006599351,123.936302178331 24.3532009160038,123.937904357682 24.3583335796814,123.937797540291 24.3642654500356,123.920600902206 24.3659324664996,123.916603091793 24.3727321629442,123.91439818977 24.3780670166834,123.905601503724 24.3836002292745,123.900497435545 24.3843326587787,123.896896375442 24.3832664412304,123.889801023718 24.3867339958973,123.885498037063 24.3829994140557,123.879096982079 24.391399382398,123.87920379947 24.3992004429748,123.87179564169 24.4028663727966,123.866600032049 24.4032669054071,123.863998412323 24.3955993665691,123.859603884206 24.3941993772797,123.853096011831 24.3988666549308,123.8518981963 24.4020652912726,123.846000660107 24.402933117363,123.841400143326 24.4018001552483,123.83149718321 24.4064006720299,123.828300470624 24.4038658131725,123.82630157357 24.3975334102078,123.822601309587 24.3963337035267,123.820396423866 24.3972663830331,123.816596988609 24.3972663830331,123.820800771384 24.3953323393944,123.819198608336 24.3910656106569,123.81749725771 24.3910656106569,123.814796450406 24.390867235502,123.807701114985 24.4006671768306,123.809394835797 24.3989334158002,123.813499447298 24.3983325842784,123.808700571664 24.4003982585056,123.810501109867 24.409465786633,123.799102771488 24.4152660427017,123.798599252697 24.4198665757864,123.791000365878 24.4260654407092,123.780700688059 24.4364662135595,123.778602603427 24.4364662135595,123.771995543474 24.4361324255154,123.769996630116 24.436065664646,123.768699643311 24.436065664646,123.762596134756 24.4304008540725,123.764396672958 24.4245338371344,123.766700746256 24.4273986854321,123.771400450615 24.4247322122892,123.771995543474 24.4198665757864,123.769798287567 24.4164657656858,123.763603221248 24.4151992818323,123.759498593445 24.4134006510828,123.755798329461 24.4066657917512,123.749397274477 24.4018001552483,123.752502445602 24.3943328827155,123.749999997149 24.3908004746326,123.74679565475 24.3902664202833,123.744300836111 24.3929996542956,123.741600028807 24.3929328934262,123.741996762813 24.3872680665497,123.744598398843 24.3874664254015,123.74679565475 24.3808670115652,123.75119781268 24.3742656739724,123.74679565475 24.3695335429054,123.741302498681 24.367332455789,123.744796741392 24.3585338622896,123.74679565475 24.3589324874467,123.750999453828 24.3577327807656,123.752899163305 24.3510665897568,123.75749969639 24.3471336327604,123.753501885977 24.347066871891,123.747497548697 24.3489322635099,123.74679565475 24.3467331001499,123.743499754587 24.34106636582,123.74679565475 24.3382663709382,123.748596192953 24.3365325936048,123.74679565475 24.3321323431284,123.745399480367 24.3214664342538,123.74679565475 24.3192005100244,123.749900825875 24.3117332374916,123.74679565475 24.3106670362463,123.741401669955 24.3195323906151,123.740501400854 24.3182010696485,123.738800050228 24.3197994177897,123.734901427393 24.3277339838024,123.73459625115 24.3302669515095,123.731300350987 24.3303337123789,123.727699274581 24.3283996524372,123.72750091573 24.3365325936048,123.72679900548 24.3414669147335,123.722999570222 24.3421325670653,123.720199591644 24.3379993437636,123.718299865863 24.3365325936048,123.713500973927 24.3338680279153,123.71340178635 24.3282661306984,123.712997438832 24.3278007609749,123.709098815997 24.3315334353631,123.707702641615 24.3365325936048,123.704299924061 24.3399982408183,123.702896119865 24.3454666162964,123.703399654959 24.3476676871097,123.701698304334 24.3484001166139,123.698501591748 24.3454666162964,123.699897766131 24.3365325936048,123.706703184936 24.322467798386,123.707595824224 24.3175334935603,123.709701538669 24.316133504271,123.707000731365 24.312665933301,123.704101565209 24.3144664878069,123.701301570327 24.3128662159093,123.701896663186 24.3199329395286,123.697303759915 24.3253993912502,123.688896178062 24.3288669622202,123.683197033327 24.3313331527548,123.678398125087 24.3210659016433,123.681900013916 24.3204002330085,123.683601364541 24.3113994657505,123.685096742804 24.3094654221118,123.680000304438 24.3068676009887,123.676696774462 24.3115997320558,123.672401433923 24.310934063421,123.66829680612 24.3125991887346,123.662200927378 24.3094654221118,123.66020201402 24.307067883597,123.679702758009 24.2819328319863,123.690399169835 24.2815322830727,123.695297233046 24.2823982180128,123.705596927169 24.2772674617886,123.71720123791 24.2774677280939,123.71900175981 24.2877998326214,123.720397934193 24.2985992469319,123.735801696494 24.2928657517326,123.739196784235 24.2882003815349,123.74679565475 24.2836666093197,123.754501342656 24.278732304494,123.777099611653 24.2740669342964,123.782600413839 24.2754001627163,123.80529785411 24.2691326131677,123.813903811118 24.2695999229506,123.832397452311 24.2708664068041,123.848297119894 24.2632656125325,123.862899768066 24.2548675516437,123.87179564169 24.2544002581638)",BA010,"1","1",JPN
"LINESTRING (124.146301272766 24.4505328999287,124.148902892493 24.4548664058386,124.14859771625 24.4556674873626,124.14710235429 24.4574680255655,124.144302359408 24.4595336997927,124.143600465461 24.4548664058386,124.146301272766 24.4505328999287)",BA010,"1","1",JPN
"LINESTRING (131.186877243516 24.4616860571805,131.184685155667 24.4634316705069,131.183545802769 24.4661100774609,131.181986744907 24.4688284594214,131.180682177197 24.4720849062744,131.183925597937 24.4720065702603,131.187503475144 24.4712070538263,131.192080760122 24.4710471538001,131.194476130335 24.4701527863921,131.194979665429 24.4694203405849,131.194339396901 24.4666897313589,131.192172040734 24.4632195682087,131.189562253194 24.4615128049804,131.186877243516 24.4616860571805)",BA010,"1","1",JPN
"LINESTRING (123.011604321041 24.4371828454368,123.008209265906 24.438184209569,123.004806532049 24.4400515086414,123.000511207814 24.4407171609731,122.997719478563 24.4396888805538,122.988846967169 24.440615854003,122.983604453738 24.4429163406361,122.982910189605 24.4397844814667,122.982009920504 24.4390501445091,122.977104194873 24.438651503049,122.973609952162 24.4406504164067,122.973907482288 24.4372515137596,122.966334647697 24.437437645346,122.957710300882 24.4414514979307,122.953407314226 24.441184470756,122.949607878969 24.4434503949854,122.939981988688 24.4441913509694,122.933493158241 24.4481641036392,122.93450929291 24.450717417516,122.939506560001 24.4481844335059,122.944305435634 24.4523176568076,122.938790172669 24.4513423122962,122.941703815907 24.4567846681534,122.953308142952 24.4611830111763,122.955108681155 24.4657167833916,122.962509192818 24.4728502678803,122.97050479734 24.4690489251692,122.974510221263 24.4676508433333,122.982505825785 24.4690489251692,122.983909629981 24.4689840717532,122.994308495378 24.4729837896191,122.999206574892 24.4697832458238,123.000511207814 24.4699167675627,123.004310626768 24.4738497245591,123.007308996805 24.4737829636897,123.010910056908 24.4737829636897,123.016609217946 24.4709829688079,123.018310584874 24.4709829688079,123.037002601222 24.463649218014,123.042106653099 24.4640497669275,123.043708816147 24.4615167992204,123.036308320786 24.4576506030934,123.033103978387 24.4527162982677,123.029501565134 24.4502829094105,123.022903471842 24.4467176833471,123.011604321041 24.4371828454368)",BA010,"1","1",JPN
"LINESTRING (123.822898872319 24.4671993311773,123.824302660212 24.4715328207843,123.819297795913 24.4758663103912,123.813598634875 24.4761333538689,123.812400819344 24.4722003968725,123.816696176186 24.4675998637878,123.822898872319 24.4671993311773)",BA010,"1","1",JPN
"LINESTRING (124.173004153263 24.3279323589573,124.181701668034 24.3299331634654,124.188301098174 24.3320674897124,124.192199704706 24.3365325936048,124.197898865744 24.3430671703281,124.195404047105 24.3467331001499,124.195800781112 24.3513336169315,124.207397462039 24.3530006496986,124.211402885962 24.3532009160038,124.214202880844 24.3502673993832,124.225097667825 24.34326552918,124.23449706024 24.3434009583722,124.246498104988 24.3570003512614,124.246803281231 24.3663329991101,124.249801634965 24.3794002451034,124.249404900958 24.3956661111355,124.254302964169 24.4113998302717,124.251503001893 24.4198665757864,124.246803281231 24.4273338320161,124.246803281231 24.4305992129244,124.249801634965 24.4370670287783,124.252098094752 24.4379329637183,124.254196163081 24.4445323938577,124.24739837409 24.4503326499264,124.248901365863 24.4651336569502,124.261901850987 24.4794006422306,124.266899101775 24.4807338706505,124.269699096657 24.4843330396029,124.277702330993 24.4857330451953,124.278602600094 24.5032005253619,124.282798769358 24.5076007758382,124.286804193282 24.5100669826759,124.293197634755 24.5143337277165,124.303298953723 24.5258674626815,124.304595940528 24.5302009522885,124.301002510239 24.5332660668915,124.300399771264 24.5431327690895,124.311698922065 24.5549335475322,124.314598071918 24.5558662433417,124.315795903752 24.5562000313858,124.319503781246 24.5589332653981,124.324096684517 24.5635337821797,124.327903749588 24.5664005216279,124.333297734383 24.5747337291007,124.335098272586 24.5825328822242,124.337097169641 24.58566666515,124.33589935411 24.58653260009,124.333396905658 24.5956668890869,124.335098272586 24.599065791734,124.335517879731 24.602714538172,124.3173980668 24.6058006184596,124.31179809334 24.6096668308896,124.30809784566 24.6068668360078,124.306800842551 24.5901336764958,124.305603027021 24.58653260009,124.297897339114 24.5762672401289,124.292396553231 24.566799163088,124.283897397312 24.5620670320209,124.278900146523 24.5576000206751,124.281600953828 24.5534667973735,124.287696832569 24.5486659979836,124.290702816117 24.543533334306,124.290802003694 24.5387325349161,124.287300114866 24.5373992901932,124.286102299335 24.537467958516,124.282104488923 24.5324668928209,124.280303967023 24.5250663811575,124.274497988594 24.5111331839212,124.275405887509 24.5045337700848,124.273498531915 24.5032005253619,124.271301276008 24.5023994438379,124.271202088431 24.5032005253619,124.267799370877 24.5058669985048,124.267303465596 24.5064659225732,124.26180266341 24.51346586902,124.252998363853 24.5175323477553,124.246803281231 24.5097999555012,124.242500294576 24.5036659276914,124.242301952027 24.5032005253619,124.234802252786 24.496265416028,124.226997360999 24.496200562612,124.225204468913 24.4971332584215,124.225799561772 24.4893321978446,124.226699830873 24.4848651864988,124.225204468913 24.4850654528041,124.219497678062 24.4747333645795,124.217498781007 24.4664001408037,124.222099297789 24.4641323091209,124.221603392507 24.4555339819268,124.218101503679 24.4526653187222,124.213302611743 24.4525337207398,124.211601261117 24.4535331774187,124.208801266235 24.4534664165493,124.206199646509 24.4528007479145,124.200698860625 24.4558010091015,124.19899751 24.4558658625175,124.195404047105 24.4547996612722,124.188903804543 24.4550666884469,124.182403561981 24.4519329055211,124.175498971902 24.4466667201047,124.170898438817 24.4470653452617,124.170700079965 24.4467334809741,124.152999890482 24.4518661446516,124.151100164702 24.4518661446516,124.149604802742 24.4518661446516,124.138603214673 24.4423332141947,124.136497500227 24.4400653825119,124.131004327855 24.4459323831471,124.135398855971 24.447732937653,124.137397769329 24.4493331932476,124.135902407369 24.4521331881293,124.138397226007 24.4574680255655,124.140403752876 24.4617328631527,124.134300228018 24.4705333804084,124.126602169925 24.4747333645795,124.121803277988 24.4764003810436,124.11389923123 24.4799995499959,124.112602244425 24.4799995499959,124.109405515537 24.4762668756077,124.111602787746 24.4742660547966,124.115501394278 24.4741992939272,124.121498118049 24.4692668965549,124.121803277988 24.4684658150309,124.121803277988 24.4662666190649,124.11830138916 24.4629325861368,124.113197337284 24.4605331564716,124.116104133254 24.4446010621805,124.111099236349 24.4432659263072,124.109199526871 24.4433326708736,124.104499806209 24.44206618702,124.102500925458 24.4435996980482,124.101600656356 24.4462661711911,124.096603389265 24.4507331825369,124.095802307741 24.4514007586251,124.093299859288 24.4512004923199,124.088500967352 24.4514007586251,124.08240508861 24.4500007530327,124.080703737985 24.4501323673182,124.079399105063 24.4500675302052,124.075302123376 24.4512653294329,124.073799147906 24.4512004923199,124.075302123376 24.4473323724364,124.076202392478 24.4462661711911,124.0719985934 24.4379997245878,124.068298345719 24.4347991807925,124.066398619939 24.4301338268979,124.067802424135 24.4257335601185,124.075599669805 24.4217338585556,124.076499938907 24.4198665757864,124.081802365938 24.4139327979788,124.083999638148 24.4198665757864,124.098800661474 24.4308662400991,124.107200629817 24.4304008540725,124.109405515537 24.4281330060867,124.112998962129 24.4322662456914,124.119903568511 24.4308662400991,124.121803277988 24.425333011205,124.128601083283 24.4198665757864,124.131103515432 24.4129981947159,124.139900201478 24.411132803097,124.13930510862 24.4032001445377,124.136299125072 24.3971328775973,124.137802133149 24.3903999257191,124.131599420713 24.3815994247664,124.123298656251 24.3759994513059,124.121803277988 24.3759326904364,124.117401120059 24.3761329730447,124.110000608395 24.3685321787731,124.108200070192 24.3631992324873,124.121498118049 24.3542003563797,124.121803277988 24.3544654761009,124.134399415595 24.3512668560621,124.141105646822 24.3484001166139,124.142097473688 24.3456668826016,124.14640044404 24.3414001375611,124.144004829282 24.3379325828941,124.144302359408 24.3365325936048,124.144500734563 24.3351993651848,124.14979553178 24.3357334195342,124.150001520446 24.3344001748112,124.153800972006 24.3355998977953,124.16049957342 24.331199647319,124.160598744695 24.3303337123789,124.162101752771 24.3306007395536,124.173004153263 24.3279323589573)",BA010,"1","1",JPN
"LINESTRING (124.690597538325 24.6396655952467,124.70330047702 24.6402664267685,124.713401795988 24.6469326014743,124.716201774566 24.645065302402,124.714996329222 24.6479339656066,124.721595775664 24.6553325698165,124.720199584979 24.6683998158098,124.718399046776 24.6698665496656,124.706398018331 24.6751995122544,124.688598641271 24.6784000397467,124.675598139844 24.6742000555755,124.669700636257 24.6698665496656,124.664695739352 24.6614665976264,124.668296815758 24.6464671991448,124.673995976796 24.6423339921461,124.690597538325 24.6396655952467)",BA010,"1","1",JPN
"LINESTRING (125.246803290869 24.7126674729008,125.254402161384 24.7159347449594,125.255104055331 24.721067441243,125.251602166503 24.7254009145469,125.246803290869 24.7284679366034,125.239097602963 24.7310676651799,125.236701971901 24.718933098693,125.243400573315 24.712932592622,125.246803290869 24.7126674729008)",BA010,"1","1",JPN
"LINESTRING (124.699699400614 24.746467596272,124.700202952012 24.7486667596319,124.698303226232 24.7532005318471,124.695999136631 24.7560653638419,124.694702149826 24.7558670049901,124.686302181484 24.763200755784,124.675796514999 24.7592010542212,124.684394842193 24.7532005318471,124.699699400614 24.746467596272)",BA010,"1","1",JPN
"LINESTRING (141.286203639727 24.7451537032345,141.285806905721 24.7468874805679,141.285501729478 24.7499545026244,141.292108789431 24.7651541674112,141.293710968782 24.7802203104592,141.289514799518 24.786886501468,141.287012351065 24.7856200176144,141.285913723112 24.786354338269,141.286898327739 24.7895192110552,141.297614580341 24.7960437777239,141.313303254231 24.8038199435883,141.320307031888 24.80708723195,141.322199127855 24.8116209878621,141.324503201152 24.8116209878621,141.328912988896 24.8116877487316,141.338510772769 24.8026869651706,141.34751344748 24.7822192075139,141.343714012223 24.7753546739563,141.337503686276 24.771019276896,141.325907005349 24.7702201028254,141.319406762787 24.7669547056141,141.297708762891 24.7539542204902,141.290109892376 24.7468874805679,141.286203639727 24.7451537032345)",BA010,"1","1",JPN
